Business,Address,Category,Detected website,Detected logo,Website issue,Logo issue,Domain hint
Next Level Thrift Store,1045 19 Av Se,shop,,,Missing website,Missing logo,
Vigi's Hair,1044 19 Av Se,services,,,Missing website,Missing logo,
Bioi,1226A 9 Av Se,shop,,,Missing website,Missing logo,
Fair's Fair (For Book Lovers),#L 907 9 Av Se,shop,https://fairsfairbooks.com,,,Missing logo,fairsfairbooks.com
Tuu Shop,#103 902 9 Av Se,shop,,,Missing website,Missing logo,
Two Wheel View,#M 907 9 Av Se,shop,,,Missing website,Missing logo,
Sweet Treats Co.,1109 9 Av Se,restaurant,,,Missing website,Missing logo,
Next Page (The),1217A 9 Av Se,restaurant,,,Missing website,Missing logo,
Lasa By Cara,1117 9 Av Se,restaurant,,,Missing website,Missing logo,
Faire Living Group,1226B 9 Av Se,shop,https://fairsfairbooks.com,,,Missing logo,fairsfairbooks.com
Oxgust Studio,915 9 Av Se,services,,,Missing website,Missing logo,
Oolong Tea House,1219A 9 Av Se,cafe,,,Missing website,Missing logo,
Apothecary In Inglewood (The),921 9 Av Se,restaurant,,,Missing website,Missing logo,
The Confluence Historic Site & Parkland,750 9 Av Se,restaurant,,,Missing website,Missing logo,
Lily By Lyla,1221 9 Av Se,shop,,,Missing website,Missing logo,
Master Of None Studios,915 9 Av Se,services,,,Missing website,Missing logo,
Opulence Piercing,1105 9 Av Se,services,,,Missing website,Missing logo,
Gallery Underground,#10 917 9 Av Se,gallery,,,Missing website,Missing logo,
Madison's 12|12,1212 9 Av Se,restaurant,,,Missing website,Missing logo,
Adorn Boutique,1216A 9 Av Se,shop,,,Missing website,Missing logo,
Domino's,1220 9 Av Se,restaurant,,,Missing website,Missing logo,
Curated Home (The),1004 9 Av Se,shop,,,Missing website,Missing logo,
Pronto Pizza,#2 1139 9 Av Se,restaurant,,,Missing website,Missing logo,
Stash,1237 9 Av Se,shop,,,Missing website,Missing logo,
Murphy's Mid-Century,1221B 9 Av Se,shop,,,Missing website,Missing logo,
Dragon Pearl,1223A 9 Av Se,restaurant,,,Missing website,Missing logo,
